Locations ,Attraction,Attraction Name,Energy level,Ages
Auckland,Skytower,Skytower view,medium,all
Hamilton,Gardens,International gardens,low,all
Mount Maunganui,Walk up the Mount,The Mount's view,Medium,all
Te Puke,Giant Kiwifruit,Giant Kiwifruit Statue,low,all
Wellington Night life,City life at night,CBD pubs,high,R18
Brightwater,Lord Rutherford's birth place,Statue and info. ,need a car,all
Nelson,NZ's centre,1h walk,medium ,all
Grey Mouth,Gold,Shantytown historic site,low ,All
Queenstown,luge,luge and view,medium,Five or over 
Dunedin,Penguins,Dunedin's beach,low,all
